text,label
What's worse than being stuck in a time loop of Groundhog day? Being stuck in a Monday loop.,-1
"@Reality_Touch: Hamid Mir has rejected the negative views of Saleem Safi,Sana bucha & Kamran Shahid on PTI peace march. Read his tweets !",-1
@claw1400 I am seriously thinking about it! I may go back down to Drexel to get some books.,1
"@PierreGarcon85 come out and watch THOSE GUYS softball next Saturday august 27th for the COLTS softball tournament,, IT would be great",0
All seniors will be recognized at FCA tomorrow and the first 25 will get free chickfila coupons for free biscuits! See y'all there :),1
"I'm at a sweet 17th party now, n saw someone that looks like Song Joongki. Omo! Too bad, he's younger than me, ahahah.",-1
@vanessacaterina damn I don't wanna get on my computer. Tomorrow :( my Harry feels are out of control and the outtakes video broke me,-1
Terrible tragedy today in Russia with the loss of a great KHL team and an NHL great in Pavol Demitra,-1
Dr. Mohamed Morsi announced as Egypt's 1st elected President after the glorious 25th of Jan Revolution. Congratulations to #Egypt!,1
How to know a shit bar!.. You get your arm stamped! If u wake up tomorrow with prints on your arm your a TWAT!,-1
made a shitty Family Guy gif last night out of boredom. gonna post it on Tumblr.,-1
#SkateNight Tonight 8pm Stardust Skate Center FREE b4 9:30pm Hosted by #SAAB its always fun when you rolling!!! haha x5,1
@dogzillahotdogs will you be at cypress tomorrow night?,0
@LAGalaxy Thanks.  Still have love for my Galaxy!! I will cheering us on to victory at the stadium club tonite!! Beat Dallas!!,1
@sglatt711 Riri is the queen of shade. Because her forehead blocks out the sun.,0
I've read two very different article about Christianity and horror films today.  http://t.co/8hTYK83n http://t.co/1C6oyuQ5 #halloween #weird,0
The last two guys fighting for the immunity idol on Survivor were Jeff & Carter & the 1st thing I think of was Jeff Carter from the LA Kings,0
RT @RoxyReynolds: 007 in Detroit wed august 17th I'll be dancing live!!!!! D town stand up !!! Get ready its going down!,1
"RT @DawnChere: Looking at the set for Aladdin - great job @TerranceWilson ! Anticipating watching hundreds of kids sing, dance & act ton ...",1
:'( dk why but the 3rd hospital file not working for me. Gotta try download from HF instead,-1
An exciting day tomorrow @punchestownrace Oscars Well making his chase debut and Operating first time out over hurdles!! #fingerscrossed,1
The Orange County Armenian Festival is going on today and tomorrow 15 & 16 in Laguna Hills.  Come and enjoy a... http://t.co/gAiixCnl,1
Oct. 2 is almost too far away for me to wait for the return of #Dexter!,-1
Babysitting all day tonight... blahhh.. but cant wait for Friday!! Club Pulse baby!!!! Whoot Whoot!!!!,1
@MatthewBerryTMR Ryan Grant or Felix Jones in the 5th round!!!! HURRY!!! I already have Tony Romo and Dez so idk about FJtheres also steve j,0
Come spend Halloween with us at Volare! The Robbie Bartlett Trio will be here for your enjoyment! Wednesday is... http://t.co/ytUGx01q,1
@Cavillafuertee Cav ! See you tomorrow sa SM Sta.Rosa !! :**,1
if I DO get the pjob in bristol at espn all yall gotta come party with me before i leave.  I would let yall know asap. and the night before,0
Oh and Rafa said before the injury he was having the best year he ever had was 1st in the race... :( #M6,-1
T-G News: Normandy post office saved: The U.S. Postal Service announced a plan Wednesday that will keep the Norm... http://t.co/K1WsNxGE,0
REGISTRATION IS NOW OPEN! Register for the professional event today (the Brooklyn Bridge walk is free) to grab... http://t.co/0uMttVr,0
"In the car with the parents on the way back home home. Heading to ATL to say good-bye to ""Sweet Irene""tomorrow.",1
Do we really care about our kids future? Think about it: Education is the 1st thing cut from budgets on every level.,-1
"Not here in the East:( though...Moon, Jupiter, Capella light up evening sky on November 1 | Tonight | EarthSky http://t.co/Hv7KPxpa",-1
"I see the French Rail unions are striking on the 25th, do the French have Half Term or is it just aimed at the Brits?",0
It's Monday morning and I woke listening to Niggas In Paris. Oh man it's going to be a good day.,1
omg the music video comes out tomorrow! Btw I still can't get over Harry's voice :') http://t.co/o4mv73DI,-1
